firstname,lastname,country,disciplin_id,chance,desc
Marco,Odermatt,sui,alpine-skiing-downhill-men,3,The technical master and heavy favorite whose only hurdle is the immense pressure of securing the one major title missing from his resume.
Franjo,Von Allmen,sui,alpine-skiing-downhill-men,4,"The sport’s newest sensation who has proven he can beat Odermatt straight-up and possesses the fearless ""young gun"" energy needed for the Stelvio."
Dominik,Paris,ita,alpine-skiing-downhill-men,2,"A literal ""King of Bormio"" who knows every ice patch on this track and will be fueled by a career-defining opportunity to win gold on home soil."
Vincent,Kriechmayer,aut,alpine-skiing-downhill-men,2,"The veteran tactician who excels when courses are icy and technical, making him the most reliable threat to disrupt a Swiss-Italian podium."
Florian,Schieder,ita,alpine-skiing-downhill-men,1,A model of consistency who has become a permanent fixture in the World Cup Top 5 and thrives on the high-intensity vibrations of the Italian tracks.
Alexis,Monney,sui,alpine-skiing-downhill-men,2,A rising Swiss talent with incredible gliding speed who faces the brutal challenge of simply qualifying for a spot on the four-man Swiss Olympic roster.
Giovanni,Franzoni,ita,alpine-skiing-downhill-men,3,"A ""Stelvio specialist"" in the making whose recent breakthrough World Cup win in Super-G proves he has the elite speed to medal in Downhill as well."
Nils,Allègre,fra,alpine-skiing-downhill-men,1,"A dark horse who relies on perfect snow conditions but has the ""all-or-nothing"" style that can occasionally produce a podium-worthy run."
Ryan,Cochran-Siegle,usa,alpine-skiing-downhill-men,1,"North America’s best hope, whose elite aerodynamic tuck and comfort on injected ice make him a threat if the race becomes a battle of ""glide."""
Maxence,Muzaton,fra,alpine-skiing-downhill-men,1,"Carrying legendary DNA, he is a late-bloomer who has finally found the top-gear speed necessary to sneak into the medals from a late starting number."
Mattia,Casse,ita,alpine-skiing-downhill-men,1,The veteran warrior of the Italian team who has overcome major injury to find the best form of his life just in time for his home Olympics.
Stefan,Rogentin,sui,alpine-skiing-downhill-men,2,"Often overshadowed by Odermatt, he is arguably the best ""pure glider"" in the world and can win any race that features long, high-speed flats."
Elian,Lehto,fin,alpine-skiing-downhill-men,1,"The ""Flying Finn"" who has become a consistent Top-10 disruptor and represents the biggest threat to the traditional alpine powerhouses."
Cameron,Alexander,can,alpine-skiing-downhill-men,1,A big-event performer who already has a World Championship medal and the high-risk style required to master a track as punishing as the Stelvio.
Niels,Hintermann,sui,alpine-skiing-downhill-men,1,
Daniel,Hemetsberger,aut,alpine-skiing-downhill-men,1,
Sofia,Goggia,ita,alpine-skiing-downhill-women,4,"The home-soil ""Queen of Speed"" whose only real opponent is her own tendency to push past the laws of physics."
Lindsey,Vonn,usa,alpine-skiing-downhill-women,2,A 41-year-old sporting miracle who is technically and mentally superior to the field on this specific track.
Kira,Weidle-Winkelmann,ger,alpine-skiing-downhill-women,2,A powerhouse specialist who arrives with massive confidence after a 2nd place finish behind Nicol Delago in the Tarvisio Downhill last week.
Emma,Aicher,ger,alpine-skiing-downhill-women,3,"The 22-year-old phenom who has won in Downhill, Super-G, and Slalom this season, making her the most dangerous young disruptor in the field."
Cornelia,Hütter,aut,alpine-skiing-downhill-women,2,"Austria’s ""Iron Lady"" who provides the perfect balance of risk-management and elite speed."
Laura,Pirovano,ita,alpine-skiing-downhill-women,2,Italy’s model of consistency who has been knocking on the door of the podium all winter and thrives on the high-vibration ice of the Italian tracks.
Breezy,Johnson,usa,alpine-skiing-downhill-women,2,"A raw power-skier who can win gold if she manages to stay ""quiet"" in the technical turns."
Kajsa Vickhoff,Lie,nor,alpine-skiing-downhill-women,1,"Norway’s ""Attacking Viking"" who recently secured 2nd place in Zauchensee and possesses the high-risk style needed to steal gold in Cortina."
Ilka,Stuhec,slo,alpine-skiing-downhill-women,1,"The veteran ""Queen of the Gliders"" who remains a tactical threat on flat sections and knows exactly how to peak for a single championship race."
Mirjam,Puchner,aut,alpine-skiing-downhill-women,1,A veteran gliding specialist who has already found the podium this season and remains Austria’s most reliable hope for a medal behind Cornelia Hütter.
Nicole,Delago,ita,alpine-skiing-downhill-women,2,"A newly-minted World Cup winner who has found peak form just weeks before the Olympics and represents Italy’s most dangerous ""second option"" behind Sofia Goggia."
Nina,Ortlieb,aut,alpine-skiing-downhill-women,1,
Jacqueline,Wiles,usa,alpine-skiing-downhill-women,1,
Team,Switzerland 1 - Alpine Skiing Men,sui,alpine-skiing-team-combined-men,5,
Team,Autria 1 - Alpine Skiing Men,aut,alpine-skiing-team-combined-men,3,
Team,France 1 - Alpine Skiing Men,fra,alpine-skiing-team-combined-men,3,
Team,Norway 1 - Alpine Skiing Men,nor,alpine-skiing-team-combined-men,3,
Team,Switzerland 2 - Alpine Skiing Men,sui,alpine-skiing-team-combined-men,2,
Team,Italy 1 - Alpine Skiing Men,ita,alpine-skiing-team-combined-men,2,
Team,USA 1 - Alpine Skiing Men,usa,alpine-skiing-team-combined-men,1,
Team,France 2 - Alpine Skiing Men,fra,alpine-skiing-team-combined-men,1,
Team,Norway 2 - Alpine Skiing Men,nor,alpine-skiing-team-combined-men,1,
Team,Austria 2 - Alpine Skiing Men,aut,alpine-skiing-team-combined-men,1,
Team,Finland 1 - Alpine Skiing Men,fin,alpine-skiing-team-combined-men,1,
Team,Germany 1 - Alpine Skiing Men,ger,alpine-skiing-team-combined-men,1,
Atle Lie,McGrath,nor,alpine-skiing-slalom-men,4,The current red-bib holder whose fearless second runs have made him the man to beat in 2026.
Clement,Noel,fra,alpine-skiing-slalom-men,3,"The reigning king who possesses a ""top gear"" that no other human can match when he finds his rhythm."
Lucas,Pinheiro Braathen,bra,alpine-skiing-slalom-men,2,"A flamboyant technical genius who is one ""perfect dance"" away from winning Brazil’s first-ever Winter Olympic gold."
Henrik,Kristoffersen,nor,alpine-skiing-slalom-men,3,A legend of the sport who is fueled by the singular obsession of adding Olympic Slalom gold to his 100 podiums.
Paco,Rassat,fra,alpine-skiing-slalom-men,2,The surprise package of the French team who has proven that his early-season wins were no fluke.
Timon,Haugan,nor,alpine-skiing-slalom-men,2,"A model of modern Norwegian efficiency who just needs to find his ""killer instinct"" in the final ten gates."
Loic,Meillard,sui,alpine-skiing-slalom-men,2,"The Swiss master of precision who provides the most reliable ""safety net"" for a podium finish if others falter."
Manuel,Feller,aut,alpine-skiing-slalom-men,2,"An explosive, unpredictable talent who skis every run as if his life depends on it."
Eduard,Hallberg,fin,alpine-skiing-slalom-men,1,"The ""Finnish Flash"" who has transformed from a relative unknown into a legitimate medal threat in just four months."
Armand,Marchant,bel,alpine-skiing-slalom-men,1,"Belgium’s historic trailblazer who has reached a new level this season with his first career podium in Gurgl and possesses the technical ""touch"" to secure a landmark medal for his nation."
Linus,Strasser,ger,alpine-skiing-slalom-men,1,A specialist who excels in the shadows and ice of the most difficult tracks on the circuit.
Alex,Vinatzer,ita,alpine-skiing-slalom-men,1,"The local favorite and ""icy track"" specialist who will rely on his elite technical power and the energy of the home crowd in Bormio to finally secure his first Olympic podium."
Michael,Matt,aut,alpine-skiing-slalom-men,1,"A veteran big-event performer and Olympic medalist who has maintained top-15 consistency all season, waiting to pounce if the younger favorites falter under the Olympic pressure."
Mikaela,Shiffrin,usa,alpine-skiing-slalom-women,5,"The reigning queen of the discipline who enters the Olympics in peak ""107-win"" form and remains the standard by which all others are measured."
Camille,Rast,sui,alpine-skiing-slalom-women,3,A technical revelation who has finally unlocked the speed necessary to challenge Shiffrin for the top step of the podium.
Wendy,Holdener,sui,alpine-skiing-slalom-women,2,The ultimate veteran strategist who specializes in navigating difficult courses and capitalising on the mistakes of others.
Laura,Colturi,alb,alpine-skiing-slalom-women,2,The 19-year-old phenom who has already racked up four slalom podiums this season for Albania and is the biggest threat to secure a historic first-ever medal for her adopted nation.
Emma,Aicher,ger,alpine-skiing-slalom-women,2,"Germany’s versatile young star who possesses the fearless ""all-or-nothing"" style that translates perfectly to Olympic pressure."
Paula,Moltzan,usa,alpine-skiing-slalom-women,2,A high-octane charger who just proved she can go 1-2 with Shiffrin and is finally finding the consistency to match her elite speed.
Katharina,Truppe,aut,alpine-skiing-slalom-women,2,"Austria’s ""last woman standing"" in the tech field who carries the weight of a nation after Liensberger’s season-ending injury."
Lena,Durr,ger,alpine-skiing-slalom-women,1,"A veteran specialist who remains Germany’s most reliable podium bet, having secured a 2nd place behind Shiffrin in Copper Mountain earlier this season."
Zrinka,Ljutic,cro,alpine-skiing-slalom-women,1,The future of the sport who skis with a violent precision that can beat anyone on an icy track.
Anna,Swenn-Larsson,swe,alpine-skiing-slalom-women,1,"Sweden’s technical leader who excels on the steepest, iciest pitches and is a constant top-10 presence waiting for the perfect run to jump onto the podium."
Sara,Hector,swe,alpine-skiing-slalom-women,2,"The reigning Giant Slalom Olympic champion who has significantly improved her slalom form this winter, securing a strong 7th place in Flachau just last week."
Eliane,Christen,sui,alpine-skiing-slalom-women,1,
Dzenifera,Germane,lat,alpine-skiing-slalom-women,1,
Lara,Delle Mea,ita,alpine-skiing-slalom-women,1,
Petra,Vlhova,svk,alpine-skiing-slalom-women,1,
Team,USA 1 - Alpine Skiing Women,usa,alpine-skiing-team-combined-women,3,
Team,Germany 1 - Alpine Skiing Women,ger,alpine-skiing-team-combined-women,3,
Team,Austria 1 - Alpine Skiing Women,aut,alpine-skiing-team-combined-women,2,
Team,Italy 1 - Alpine Skiing Women,ita,alpine-skiing-team-combined-women,3,
Team,Germany 2 - Alpine Skiing Women,ger,alpine-skiing-team-combined-women,2,
Team,Switzerland 1 - Alpine Skiing Women,sui,alpine-skiing-team-combined-women,3,
Team,USA 2 - Alpine Skiing Women,usa,alpine-skiing-team-combined-women,1,
Team,Norway 1 - Alpine Skiing Women,nor,alpine-skiing-team-combined-women,1,
Team,Italy 2 - Alpine Skiing Women,ita,alpine-skiing-team-combined-women,1,
Team,Switzerland 2 - Alpine Skiing Women,sui,alpine-skiing-team-combined-women,1,
Team,France 1 - Alpine Skiing Women,fra,alpine-skiing-team-combined-women,1,
Marco,Odermatt,sui,alpine-skiing-superg-men,4,The surgical master of speed who enters as the heavy favorite to claim the one gold medal that defines his era.
Vincent,Kriechmayer,aut,alpine-skiing-superg-men,3,"A veteran tactician who excels when the conditions are ""brutal"" and remains the primary obstacle to a Swiss sweep."
Giovanni,Franzoni,ita,alpine-skiing-superg-men,2,The red-hot home favorite who is riding a wave of momentum after his maiden World Cup win in Wengen last week.
Marco,Schwarz,aut,alpine-skiing-superg-men,2,The most versatile skier in the world who has transformed from a tech specialist into a legitimate Super-G powerhouse this winter.
Stefan,Babinsky,aut,alpine-skiing-superg-men,1,"An Austrian specialist who has finally found his peak form this January, securing his first career World Cup podium with a brilliant 2nd place in the Wengen Super-G."
Raphael,Haaser,aut,alpine-skiing-superg-men,2,"A technician with a ""Giant Slalom heart"" who uses his superior carving ability to find time in the Stelvio's most difficult sections."
Franjo,Von Allmen,sui,alpine-skiing-superg-men,3,"The sport’s most aggressive newcomer who possesses the raw speed to win gold if he avoids the ""rookie"" mistakes that have plagued his season."
Stefan,Rogentin,sui,alpine-skiing-superg-men,1,"A master of high-speed gliding who has remained a permanent top-10 threat throughout the season and excels when the course setting allows for long, sweeping arcs."
Ryan,Cochran-Siegle,usa,alpine-skiing-superg-men,1,"An aerodynamic specialist whose elite ""touch"" on ice makes him a threat if the race becomes a battle of technical precision."
Alexis,Monney,sui,alpine-skiing-superg-men,2,The young Swiss sensation who solidified his Olympic medal credentials with a stunning 2nd place finish in Livigno this December.
Jan,Zabystran,cze,alpine-skiing-superg-men,1,"The historic ""giant-killer"" of the 2026 season who shocked the world by defeating Marco Odermatt to win in Val Gardena, proving he can beat anyone on his day."
Dominik,Paris,ita,alpine-skiing-superg-men,2,A local legend who knows every bump on the Stelvio and will be fueled by the once-in-a-lifetime chance to win an Olympic medal in his own backyard.
